Country,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.6,2.899999999,3.4,2.8,3.8,3.7,3.2,1.3,1.2,1,-5.1,3.4,3.1
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.923166965,8.651121666,7.575916354,7.29639352,6.984936284,6.689088104,6.586304074,6.705338384,6.525437059,5.782893628,1.299907571,7.548580476,3.411203883
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.544931925,4.973464534,4.233540256,4.147136964,4.194048118,4.505664336,4.542804959,4.574005742,3.820511586,2.390262687,-4.141302431,6.9011687,5.503577122
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.609693151,5.465582296,5.18015001,5.242633002,4.758307435,4.715117979,4.670281015,5.052037227,4.75995563,3.961600412,-0.118957465,6.102739833,2.846120339
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.641035075,6.28626683,3.975307818,4.046446398,2.050056132,0.912006381,1.577459056,3.926630453,3.163410295,2.242776877,-1.206385367,7.432165751,0.75325374
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.686112442,2.331043262,0.352401211,0.849870427,1.925393287,2.081084707,1.937792206,2.873557154,2.174963089,1.798952171,-5.599474553,5.974170419,3.13168211
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.525298669,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.226383985,2.368386526,1.289291933,0.012105103,-7.787607091,4.235251242,2.947668633
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.147234858,1.764571949,2.226199799,2.185466054,2.91591188,4.372019078,4.346643456,4.181221,5.331108619,5.552093072,3.550164838,3.290646012,6.587845609
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.180678788,1.714228927,-0.84183248,-0.219682352,1.402605434,2.049568505,1.864024308,2.617793484,1.783348682,1.583982869,-6.132405795,5.386671511,3.480419029
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.194190349,8.679800101,,,,,,,,,,,
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.162919518,-0.814384777,-2.958922132,-1.403341868,1.395775367,3.838518877,3.037774142,2.975760729,2.284469419,1.983966223,-11.32543832,5.519594973,5.451739623
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.444265118,7.263084581,3.228200494,1.458428636,3.011366587,1.853020046,3.155564814,5.792044675,3.78420085,3.739706682,-0.551001258,8.013462924,-1.287411341
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.059530886,5.641530717,5.31709603
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.225063689,1.893524586,-0.699940695,-0.083835083,1.597496352,2.307068815,1.977188018,2.838503119,2.065957679,1.806879835,-5.672343724,5.468607465,3.540267195
